address,bikes,category,division,latitud,longitud,sub_category
Rambla Onze de Setembre 31,26,bicing,mobilidad,41.429953,2.193185,bicing
Onze de Setembre 37,26,bicing,mobilidad,41.429977,2.191821,bicing
Gran de Sant Andreu 69,10,bicing,mobilidad,41.429985,2.190163,bicing
Irlanda 11,19,bicing,mobilidad,41.431183,2.185852,bicing
Malats 28,0,bicing,mobilidad,41.43608,2.189542,bicing
Fernando Pessoa 41,4,bicing,mobilidad,41.442167,2.193032,bicing
Carrer de Bartrina 14,19,bicing,mobilidad,41.439109,2.185818,bicing
Plaça de l'Estació 6,17,bicing,mobilidad,41.436163,2.192994,bicing
Villarroel 39,23,bicing,mobilidad,41.382206,2.160644,bicing
Rocafort 103,20,bicing,mobilidad,41.379821,2.152496,bicing
Pg.Torras i Bages 29,18,bicing,mobilidad,41.437814,2.191039,bicing
República Dominicana 25,24,bicing,mobilidad,41.439949,2.197033,bicing
Casanovas 67,9,bicing,mobilidad,41.385467,2.158532,bicing
Concepció Arenal 176,7,bicing,mobilidad,41.426841,2.184238,bicing
Passeig Torras i Bages 129,15,bicing,mobilidad,41.443395,2.190623,bicing
Fernando Pessoa 72,23,bicing,mobilidad,41.445705,2.192892,bicing
Via Barcino 121,23,bicing,mobilidad,41.448128,2.192826,bicing
Crta. de Ribes (Trinitat Vella) 77,5,bicing,mobilidad,41.448628,2.18976,bicing
Via Barcino 69,16,bicing,mobilidad,41.450634,2.192335,bicing
Concepció Arenal 281,25,bicing,mobilidad,41.432559,2.184264,bicing
Avda. Meridiana 404,25,bicing,mobilidad,41.430404,2.183382,bicing
Rambla Fabra i Puig 67,29,bicing,mobilidad,41.430092,2.184898,bicing
Rio de Janeiro 3,11,bicing,mobilidad,41.430693,2.182225,bicing
Plaça Alfons X el Savi / Ronda del Guinardó nan,0,bicing,mobilidad,41.412163,2.165275,bicing
Travessera de Gràcia 328,1,bicing,mobilidad,41.408284,2.16905,bicing
Travessera de Gràcia 368,0,bicing,mobilidad,41.409815,2.171621,bicing
Mas Casanovas 137,0,bicing,mobilidad,41.415951,2.174564,bicing
Sant Antoni Mª Claret 290,0,bicing,mobilidad,41.413986,2.177842,bicing
Escornalbou 51,1,bicing,mobilidad,41.418088,2.176313,bicing
Font d'en Fargas 1,1,bicing,mobilidad,41.427561,2.166022,bicing
Carrer Fulton 1,1,bicing,mobilidad,41.42968,2.16157,bicing
Ada. Diagonal 652,9,bicing,mobilidad,41.389503,2.131454,bicing
Malats 98,16,bicing,mobilidad,41.436708,2.186059,bicing
Bolívia 76,3,bicing,mobilidad,41.403103,2.191428,bicing
Gran Via 632,7,bicing,mobilidad,41.389171,2.168113,bicing
Pl. Virrei Amat nan,1,bicing,mobilidad,41.429636,2.174487,bicing
Múrcia 64,16,bicing,mobilidad,41.416828,2.191022,bicing
Cubelles 2,0,bicing,mobilidad,41.425897,2.17505,bicing
Amilcar 1,1,bicing,mobilidad,41.430036,2.171974,bicing
Seu del Districte (Nou Barris) nan,4,bicing,mobilidad,41.436373,2.170678,bicing
Sant Iscle 60,0,bicing,mobilidad,41.43345,2.1715,bicing
Carrer de Rosselló i Porcel 1,6,bicing,mobilidad,41.436505,2.183877,bicing
Carrer Turó Blau 1,0,bicing,mobilidad,41.438864,2.176822,bicing
Andreu Nin 22,1,bicing,mobilidad,41.43463,2.181747,bicing
Carrer de l'Escultor Ordóñez 55,0,bicing,mobilidad,41.433965,2.175199,bicing
Carrer de Maladeta 1,0,bicing,mobilidad,41.431593,2.176909,bicing
Marie Curie 8,7,bicing,mobilidad,41.437053,2.169644,bicing
Cavallers 41,0,bicing,mobilidad,41.39065,2.111615,bicing
Cavallers 67,0,bicing,mobilidad,41.393341,2.115076,bicing
Manuel Girona 7,1,bicing,mobilidad,41.390208,2.121029,bicing
Diagonal 680,0,bicing,mobilidad,41.387498,2.123637,bicing
Doctor Salvador Cardenal 7,7,bicing,mobilidad,41.385465,2.122912,bicing
Pintor Ribalta nan,13,bicing,mobilidad,41.379135,2.113505,bicing
Cardenal Reig 11,4,bicing,mobilidad,41.376788,2.113864,bicing
Sant Ramón Nonat 26,13,bicing,mobilidad,41.37674,2.116973,bicing
Josep Samitier nan,0,bicing,mobilidad,41.381223,2.119077,bicing
Gallego-Arístides Maillol 2,15,bicing,mobilidad,41.378638,2.120393,bicing
Arizala 77,21,bicing,mobilidad,41.379046,2.123253,bicing
Feliu de Casanova 1,9,bicing,mobilidad,41.375366,2.129847,bicing
Rambla del Brasil 44,2,bicing,mobilidad,41.37836,2.129737,bicing
Guinardó 32,3,bicing,mobilidad,41.415617,2.181966,bicing
Cantàbria 55,12,bicing,mobilidad,41.422212,2.198316,bicing
Rambla Prim 256,19,bicing,mobilidad,41.425566,2.200693,bicing
Cartagena 83,0,bicing,mobilidad,41.413406,2.171331,bicing
Saguès 1,0,bicing,mobilidad,41.393713,2.145584,bicing
Vía Augusta 21,0,bicing,mobilidad,41.401118,2.147989,bicing
Carrer de Sant Hermenegild 30,0,bicing,mobilidad,41.403054,2.144549,bicing
Santaló 165,0,bicing,mobilidad,41.400977,2.13907,bicing
Vallmajor 13,0,bicing,mobilidad,41.397996,2.138717,bicing
Reina Victoria 31,0,bicing,mobilidad,41.396938,2.136258,bicing
Alt de Gironella 13,0,bicing,mobilidad,41.39493,2.130325,bicing
Balmes 409,0,bicing,mobilidad,41.407384,2.1383,bicing
Reus 23,0,bicing,mobilidad,41.405,2.13453,bicing
Artesa de Segre 2,0,bicing,mobilidad,41.40293,2.13427,bicing
Carrer de les Escoles Pies 99,0,bicing,mobilidad,41.402879,2.128541,bicing
Doctor Carulla 44,0,bicing,mobilidad,41.400587,2.130658,bicing
Castellnou 65,1,bicing,mobilidad,41.39706,2.12801,bicing
Doctor Roux 86,0,bicing,mobilidad,41.399833,2.128083,bicing
Passatge de Senillosa 3,0,bicing,mobilidad,41.395632,2.125106,bicing
Via Augusta 348,0,bicing,mobilidad,41.400722,2.123268,bicing
Santa Amèlia 2,0,bicing,mobilidad,41.393639,2.123224,bicing
Caponata 10,0,bicing,mobilidad,41.395274,2.120973,bicing
Carme Karr 12,0,bicing,mobilidad,41.398719,2.120422,bicing
Avinguda de J.Foix 63,0,bicing,mobilidad,41.397572,2.119506,bicing
Ramon Turró 246,23,bicing,mobilidad,41.401662,2.205277,bicing
Sant Adrià 113,16,bicing,mobilidad,41.43619,2.204573,bicing
Pl. Mossèn Joan Cortines .,0,bicing,mobilidad,41.433958,2.206166,bicing
Roc Boronat 134,0,bicing,mobilidad,41.403502,2.193702,bicing
Campana de la Maquinista nan,21,bicing,mobilidad,41.438886,2.199598,bicing
Ciutat d'Asunción 73,25,bicing,mobilidad,41.443127,2.199538,bicing
Pl. Teresa de Claramunt nan,30,bicing,mobilidad,41.363093,2.139771,bicing
Carrer de la Foneria 33,31,bicing,mobilidad,41.360654,2.139132,bicing
Alts Forns 77,28,bicing,mobilidad,41.359496,2.14182,bicing
Jardins de Can Ferrero nan,21,bicing,mobilidad,41.357067,2.141563,bicing
Carrer de l'Energia 2,22,bicing,mobilidad,41.357338,2.137172,bicing
Villarroel 208,1,bicing,mobilidad,41.391833,2.14812,bicing
Jane Addams 26,33,bicing,mobilidad,41.362135,2.135637,bicing
Radi 10,31,bicing,mobilidad,41.36335,2.134144,bicing
Munné 6,6,bicing,mobilidad,41.375414,2.123191,bicing
Rambla del Brasil 5,18,bicing,mobilidad,41.37592,2.13008,bicing
Camèlies 73,0,bicing,mobilidad,41.413425,2.163411,bicing
Gombau 24,16,bicing,mobilidad,41.387225,2.17927,bicing
Méndez Núñez 16,24,bicing,mobilidad,41.390021,2.177572,bicing
Bailén 62,11,bicing,mobilidad,41.395213,2.172984,bicing
Passeig de Colom nan,26,bicing,mobilidad,41.376292,2.178553,bicing
Bailén 100,6,bicing,mobilidad,41.397006,2.17057,bicing
Bruc 20,21,bicing,mobilidad,41.39076,2.1744,bicing
Passeig de Gràcia 61,1,bicing,mobilidad,41.39324,2.16343,bicing
Viladomat 244,1,bicing,mobilidad,41.387499,2.14702,bicing
Pau Casals 1,0,bicing,mobilidad,41.393037,2.14358,bicing
Sentmenat 39,1,bicing,mobilidad,41.385057,2.137331,bicing
Diputació 350,9,bicing,mobilidad,41.396815,2.175714,bicing
Consell de Cent 482,13,bicing,mobilidad,41.400168,2.177948,bicing
Sardenya 234,1,bicing,mobilidad,41.403735,2.172987,bicing
